"id";"name";"link";"visited"
1;"Cardio Prime Gym";"http://www.justdial.com/Delhi/Cardio-Prime-Gym-<near>-New-Ashok-Nagar/011PXX11-XX11-120822180658-Z4Y3_BZDET?xid=RGVsaGkgR3ltcw==";"1"
2;"Fitness First India Pvt Ltd";"http://www.justdial.com/Delhi/Fitness-First-India-Pvt-Ltd-<near>-Dlf-City-Phase-Iv-Gurgaon/011PXX11-XX11-110615171438-G4P5_BZDET?xid=RGVsaGkgR3ltcw==";"1"
3;"Universal Gym";"http://www.justdial.com/Delhi/Universal-Gym-<near>-Behind-Sahara-Mall-Saraswati-Vihar-Gurgaon/011PXX11-XX11-130527155641-G8A2_BZDET?xid=RGVsaGkgR3ltcw==";"1"
4;"Fitness First India Private...";"http://www.justdial.com/Delhi/Fitness-First-India-Private-Limited-<near>-Saket/011PXX11-XX11-110628112134-Z1W3_BZDET?xid=RGVsaGkgR3ltcw==";"1"
5;"Pacific Sports Complex";"http://www.justdial.com/Delhi/Pacific-Sports-Complex-<near>-Near-Central-School-Andrews-Ganj/011PXX11-XX11-100215101120-A1E8_BZDET?xid=RGVsaGkgR3ltcw==";"1"
6;"Fitness Formation";"http://www.justdial.com/Delhi/Fitness-Formation-<near>-Near-Noida-Stadium-Noida-Sector-12/011PXX11-XX11-150216191018-D6K6_BZDET?xid=RGVsaGkgR3ltcw==";"1"
7;"La Fitnesse";"http://www.justdial.com/Delhi/La-Fitnesse-<near>-Vaibhav-Khand-indirapuram/011PXX11-XX11-091023145443-W7W7_BZDET?xid=RGVsaGkgR3ltcw==";"1"
8;"Fitness First India Pvt Lim...";"http://www.justdial.com/Delhi/Fitness-First-India-Pvt-Limited-<near>-Nehru-Place/011PXX11-XX11-110129152128-L3Y7_BZDET?xid=RGVsaGkgR3ltcw==";"1"
10;"The Gym";"http://www.justdial.com/Delhi/The-Gym-<near>-Opposite-Indo-Golf-Noida-Sector-27/011PXX11-XX11-101030104605-T1S6_BZDET?xid=RGVsaGkgR3ltcw==";"1"
11;"Squad Fit";"http://www.justdial.com/Delhi/Squad-Fit-<near>-Nirvana-Country/011PXX11-XX11-150415074515-E4E4_BZDET?xid=RGVsaGkgR3ltcw==";"1"
12;"Metromax Health Clubs";"http://www.justdial.com/Delhi/Metromax-Health-Clubs-<near>-Near-Union-Bank-Barola-noida-Sector-49/011PXX11-XX11-150825190713-Z5E7_BZDET?xid=RGVsaGkgR3ltcw==";"1"
13;"Spa Hibiscus";"http://www.justdial.com/Delhi/Spa-Hibiscus-<near>-Near-Nathu-Singh-Market-Vasant-Kunj/011PXX11-XX11-140930122046-I1M1_BZDET?xid=RGVsaGkgR3ltcw==";"1"
16;"Snap Fitness";"http://www.justdial.com/Delhi/Snap-Fitness-<near>-Opposite-Metro-Pillar-Number-83-And-Above-Vijay-Sales-Preet-Vihar/011PXX11-XX11-150404091526-L6Z1_BZDET?xid=RGVsaGkgR3ltcw==";"1"
17;"Yuganta Wellness Mantra";"http://www.justdial.com/Delhi/Yuganta-Wellness-Mantra-<near>-Near-Sector-4-Vaishali/011PXX11-XX11-150713173136-I9I1_BZDET?xid=RGVsaGkgR3ltcw==";"1"
18;"Golds Gym";"http://www.justdial.com/Delhi/Golds-Gym-<near>-Vaibhav-Khand-Kala-Pathar-Chowk-Below-Sagar-Ratna-Restaurant-Indirapuram/011PXX11-XX11-120427204139-R1T7_BZDET?xid=RGVsaGkgR3ltcw==";"1"
19;"Parsona Fitness Club";"http://www.justdial.com/Delhi/Parsona-Fitness-Club-<near>-Near-Maharaja-Agrasen-College-Vasundhara-Enclave/011PXX11-XX11-100619161005-Z5P9_BZDET?xid=RGVsaGkgR3ltcw==";"1"
20;"Addiction Gym & Spa";"http://www.justdial.com/Delhi/Addiction-Gym-Spa-<near>-Vikaspuri/011PXX11-XX11-150926174641-R7C2_BZDET?xid=RGVsaGkgR3ltcw==";"1"
21;"Estonia";"http://www.justdial.com/delhi/Estonia-<near>-Opp-Safdarjung-Enclave-Safdarjung-Enclave/011PXX11-XX11-120706150855-Z5H8_BZDET?xid=RGVsaGkgR3ltcw==";"1"
22;"Just Healthy Life";"http://www.justdial.com/delhi/Just-Healthy-Life-<near>-Opposite-Mother-Dairy-Sarita-Vihar/011P5417081_BZDET?xid=RGVsaGkgR3ltcw==";"1"
23;"Studio Fit";"http://www.justdial.com/Delhi/Studio-Fit-<near>-Near-Reliance-Fresh-Charmwood-Village/011PXX11-XX11-140107171158-N1L1_BZDET?xid=RGVsaGkgR3ltcw==";"1"
24;"Athena Fitness";"http://www.justdial.com/Delhi/Athena-Fitness-<near>-Near-Vishal-Mega-Mart-Dwarka/011PXX11-XX11-150802175838-W6Y1_BZDET?xid=RGVsaGkgR3ltcw==";"1"
25;"Ozone Fitness And Spa";"http://www.justdial.com/Delhi/Ozone-Fitness-And-Spa-<near>-Near-Park-Hospital-And-South-City-2-Sohna-Road/011PXX11-XX11-131214141312-A5D3_BZDET?xid=RGVsaGkgR3ltcw==";"1"
26;"U Fit International Pvt Ltd";"http://www.justdial.com/Delhi/U-Fit-International-Pvt-Ltd-<near>-Behind-Gaur-Green-Avenue-Abhay-Khand-II-Indirapuram/011PXX11-XX11-131015161349-I4N4_BZDET?xid=RGVsaGkgR3ltcw==";"1"
