"id";"name";"mobile";"address";"rating";"votes";"established";"website";"mon_time";"tues_time";"wed_time";"thurs_time";"fri_time";"sat_time";"sun_time"
1;"Cardio Prime Gym";"+(91)-11-33632710";"E 52, New Ashok Nagar, Delhi - 110096(Map)";"4.4";"9";"2014";"http://www.cardioprimegym.in";"05:30 am - 09:30 pm";"05:30 am - 09:30 pm";"05:30 am - 09:30 pm";"05:30 am - 09:30 pm";"05:30 am - 09:30 pm";"05:30 am - 09:30 pm";"08:00 am - 02:00 pm"
2;"Fitness First India Pvt Ltd";"+(91)-11-39519774";"3rd Floor, South Point Mall, Golf Course Road, Dlf City Phase Iv Gurgaon, Gurgaon - 122002(Map)";"4.0";"366";"2008";"http://www.fitnessfirst.net.in";"05:00 am - 10:00 pm";"05:00 am - 10:00 pm";"05:00 am - 10:00 pm";"05:00 am - 10:00 pm";"05:00 am - 10:00 pm";"05:00 am - 10:00 pm";"05:00 am - 07:00 pm"
3;"Universal Gym";"+(91)-11-33083732";"House Number 798, Saraswati Vihar Gurgaon, Gurgaon - 122002, Behind Sahara Mall(Map)";"3.6";"9";"2012";"javascript:void(0);";"05:00 am - 12:00 pm  04:00 pm - 10:00 pm";"05:00 am - 12:00 pm  04:00 pm - 10:00 pm";"05:00 am - 12:00 pm  04:00 pm - 10:00 pm";"05:00 am - 12:00 pm  04:00 pm - 10:00 pm";"05:00 am - 12:00 pm  04:00 pm - 10:00 pm";"05:00 am - 12:00 pm  04:00 pm - 10:00 pm";"05:00 am - 12:00 pm  04:00 pm - 10:00 pm"
4;"Fitness First India Private...";"+(91)-11-49497000";"The New Delhi Dome, 5th & 6th Floor, Select City Walk Mall, Saket, Delhi - 110017(Map)";"4.1";"801";"2008";"http://www.fitnessfirst.net.in";"06:30 am - 10:00 pm";"06:30 am - 10:00 pm";"06:30 am - 10:00 pm";"06:30 am - 10:00 pm";"06:30 am - 10:00 pm";"06:30 am - 10:00 pm";"07:00 am - 07:00 pm"
5;"Pacific Sports Complex";"+(91)-11-39549628";"B Block, Andrews Ganj, Delhi - 110049, Near Central School(Map)";"3.8";"856";"2003";"javascript:void(0);";"05:00 am - 10:00 pm";"05:00 am - 10:00 pm";"05:00 am - 10:00 pm";"05:00 am - 10:00 pm";"05:00 am - 10:00 pm";"05:00 am - 10:00 pm";"05:00 am - 10:00 pm"
6;"Fitness Formation";"+(91)-11-33075151";"C2, Basement, Noida Sector 12, Noida - 201301, Near Noida Stadium(Map)";"3.0";"1";"2014";"javascript:void(0);";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm"
7;"La Fitnesse";"+(91)-11-39547287";"Aditya Mall, B1 B2 Basement, Vaibhav Khand-indirapuram, Ghaziabad - 201014(Map)";"3.9";"141";"Address: Roof Top Sa";"http://www.lafitnesse.com";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"10:00 am - 07:00 pm"
8;"Fitness First India Pvt Lim...";"+(91)-11-39516556";"Epicuria, Concourse Level, Nehru Palace Metro Station, Nehru Place, Delhi - 110019(Map)";"4.2";"253";"2012";"http://www.fitnessfirst.net.in";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"Closed"
9;"The Gym";"+(91)-11-39514769";"177, Basement, D Block, Noida Sector 27, Noida - 201301, Opposite Indo Golf(Map)";"4.0";"68";"Other Address:The Gy";"javascript:void(0);";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"Closed"
10;"Squad Fit";"+(91)-11-33452914";"Unit 610/611 6th Floor Tower C, Nirvana Court Yard, Nirvana Country, Gurgaon - 122011";"3.5";"2";"2015";"http://www.squadfit.in";"06:00 am - 10:00 am  05:00 pm - 09:00 pm";"06:00 am - 10:00 am  05:00 pm - 09:00 pm";"06:00 am - 10:00 am  05:00 pm - 09:00 pm";"06:00 am - 10:00 am  05:00 pm - 09:00 pm";"06:00 am - 10:00 am  05:00 pm - 09:00 pm";"06:00 am - 10:00 am  05:00 pm - 09:00 pm";"Closed"
11;"Metromax Health Clubs";"+(91)-11-33426746";"S R Complex , First Floor, Main Dadri Road, Barola-noida Sector 49, Noida - 201304, Near Union Bank(Map)";"3.0";"1";"2015";"javascript:void(0);";"10:00 am - 08:00 pm";"10:00 am - 08:00 pm";"10:00 am - 08:00 pm";"10:00 am - 08:00 pm";"10:00 am - 08:00 pm";"10:00 am - 08:00 pm";"10:00 am - 08:00 pm"
12;"Spa Hibiscus";"+(91)-11-33135368";"C 32, Vasant Kunj, Delhi - 110070, Near Nathu Singh Market";"4.0";"307";"1999";"http://www.spahibiscusindia.com";"10:00 am - 08:30 pm";"10:00 am - 08:30 pm";"10:00 am - 08:30 pm";"10:00 am - 08:30 pm";"10:00 am - 08:30 pm";"10:00 am - 08:30 pm";"10:00 am - 08:30 pm"
13;"Snap Fitness";"+(91)-11-33493140";"A 18, Swasthya Vihar, Vikas Marg, Preet Vihar, Delhi - 110092, Opposite Metro Pillar Number 83 And Above Vijay Sales(Map)";"4.0";"16";"2014";"http://www.snapfitnessindia.com";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm"
14;"Yuganta Wellness Mantra";"+(91)-11-33496172";"102, 1st Floor, Reliance Plaza 1, Vaishali, Ghaziabad - 201012, Near Sector 4(Map)";"4.0";"4";"2015";"javascript:void(0);";"09:00 am - 10:00 pm";"09:00 am - 10:00 pm";"09:00 am - 10:00 pm";"09:00 am - 10:00 pm";"09:00 am - 10:00 pm";"09:00 am - 10:00 pm";"09:00 am - 10:00 pm"
15;"Golds Gym";"+(91)-11-33989520";"Gaur Grauity Mall 8, Indirapuram, Ghaziabad - 201014, Vaibhav Khand Kala Pathar Chowk,Below Sagar Ratna Restaurant(Map)";"4.0";"396";"2011";"http://www.goldsgymindia.com";"Null";"Null";"Null";"Null";"Null";"Null";"Null"
16;"Parsona Fitness Club";"+(91)-11-39512130";"2nd, 3rd, 4th Floor, Js Complex, Vasundhara Enclave, Delhi - 110096, Near Maharaja Agrasen College(Map)";"4.0";"6";"2012";"http://www.parsonagym.com";"06:00 am - 11:30 pm";"06:00 am - 11:30 pm";"06:00 am - 11:30 pm";"06:00 am - 11:30 pm";"06:00 am - 11:30 pm";"06:00 am - 11:30 pm";"06:00 am - 11:30 pm"
17;"Addiction Gym & Spa";"+(91)-11-33827145";"MF 2, 2nd Floor, Sonia PVR, Vikaspuri, Delhi - 110018";"4.8";"13";"2009";"javascript:void(0);";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"08:00 am - 02:00 pm"
18;"Estonia";"+(91)-11-33631469";"Ab-12, Commercial Complex, Safdarjung Enclave, Delhi - 110029, Opp. Safdarjung Enclave(Map)";"4.1";"32";"1993";"javascript:void(0);";"06:00 am - 11:00 pm";"06:00 am - 11:00 pm";"06:00 am - 11:00 pm";"06:00 am - 11:00 pm";"06:00 am - 11:00 pm";"06:00 am - 11:00 pm";"06:00 am - 11:00 pm"
19;"Just Healthy Life";"+(91)-11-33724992";"Manish Complex Plot Number 7, Pocket H Market, Sarita Vihar, Delhi - 110076, Opposite Mother Dairy(Map)";"4.0";"43";"2002";"http://www.justhealthylife.com";"10:00 am - 08:00 pm  06:00 am - 10:00 pm";"10:00 am - 08:00 pm  06:00 am - 10:00 pm";"10:00 am - 08:00 pm  06:00 am - 10:00 pm";"10:00 am - 08:00 pm  06:00 am - 10:00 pm";"10:00 am - 08:00 pm  06:00 am - 10:00 pm";"10:00 am - 08:00 pm  06:00 am - 10:00 pm";"10:00 am - 08:00 pm  06:00 am - 10:00 pm"
20;"Studio Fit";"+(91)-11-33065253";"Buillding Number 3, First Floor, Dayal Bagh Road, Eros Garden, Charmswood Village, Charmwood Village, Faridabad - 121009, Near Reliance Fresh(Map)";"5.0";"2";"2013";"javascript:void(0);";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm"
21;"Athena Fitness";"+(91)-11-33414231";"E 1084, 3rd Floor, Sector 7, Ramphal Chowk, Dwarka, Delhi - 110075, Near Vishal Mega Mart(Map)";"5.0";"1";"2009";"javascript:void(0);";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm"
22;"Ozone Fitness And Spa";"+(91)-11-33063961";"AVA Court, 3rd Floor, Sohna Road, Gurgaon - 122001, Near Park Hospital And South City 2";"3.3";"18";"2012";"javascript:void(0);";"06:30 am - 10:30 pm";"06:30 am - 10:30 pm";"06:30 am - 10:30 pm";"06:30 am - 10:30 pm";"06:30 am - 10:30 pm";"06:30 am - 10:30 pm";"06:30 am - 10:30 pm"
23;"U Fit International Pvt Ltd";"+(91)-11-33060820";"Lgf 2&3, Mahalaxmi Square, Indirapuram, Ghaziabad - 201014, Behind Gaur Green Avenue,Abhay Khand-II(Map)";"3.7";"13";"2013";"http://www.ufitinternational.com";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm"
24;"Getfit Gym";"+(91)-11-33826453";"A 72, Raghuviri Medicos Basement, Noida Sector 50, Noida - 201307, Near Sector 51";"4.6";"5";"2015";"javascript:void(0);";"05:00 am - 10:00 pm";"05:00 am - 10:00 pm";"05:00 am - 10:00 pm";"05:00 am - 10:00 pm";"05:00 am - 10:00 pm";"05:00 am - 10:00 pm";"05:00 am - 10:00 pm"
25;"Revolution Gym and Spa For ...";"+(91)-11-33060670";"Scf 1/2 Basement, Sector 14 Huda Market, Faridabad Sector 14, Faridabad - 121006(Map)";"4.5";"6";"2012";"javascript:void(0);";"06:00 am - 09:00 pm";"06:00 am - 09:00 pm";"06:00 am - 09:00 pm";"06:00 am - 09:00 pm";"06:00 am - 09:00 pm";"06:00 am - 09:00 pm";"06:00 am - 09:00 pm"
26;"Friends Health Club Gym";"+(91)-11-33497705";"Plot Number 63, Natthan Vihar, Ranhoula, Main Hasthsal Ranhoula Road, Nangloi, Delhi - 110041";"4.7";"3";"2006";"javascript:void(0);";"05:00 am - 10:00 pm";"05:00 am - 10:00 pm";"05:00 am - 10:00 pm";"05:00 am - 10:00 pm";"05:00 am - 10:00 pm";"05:00 am - 10:00 pm";"05:00 am - 10:00 pm"
27;"Anytime Fitness";"+(91)-11-33077307";"C 8, 3rd Floor, Rajouri Garden, Delhi - 110027, Vishal Enclave(Map)";"3.5";"21";"2015";"http://www.anytimefitness.in";"05:00 am - 12:00 am";"05:00 am - 12:00 am";"05:00 am - 12:00 am";"05:00 am - 12:00 am";"05:00 am - 12:00 am";"05:00 am - 12:00 am";"05:00 am - 12:00 am"
28;"Infinity Fitness";"+(91)-11-33439939";"Plot Number 2, Basement, Pooja Tower, Rohit Kunj Market, Pitampura, Delhi - 110034(Map)";"4.8";"5";"2014";"javascript:void(0);";"06:30 am - 10:00 pm";"06:30 am - 10:00 pm";"06:30 am - 10:00 pm";"06:30 am - 10:00 pm";"06:30 am - 10:00 pm";"06:30 am - 10:00 pm";"Closed"
29;"Fitness Formula Gym And Spa";"+(91)-11-33743910";"First Floor, Commercial Complex, Gaur Ganga 2, Vaishali, Ghaziabad - 201012, Near Metro Station(Map)";"3.0";"7";"2014";"Null";"05:00 am - 10:00 pm";"05:00 am - 10:00 pm";"05:00 am - 10:00 pm";"05:00 am - 10:00 pm";"05:00 am - 10:00 pm";"05:00 am - 10:00 pm";"12:00 am - 11:59 pm"
30;"Strength The Gym & Spa";"+(91)-11-33720242";"A-151, Ganesh Nagar, Tilak Nagar, Delhi - 110018, Opposite To Vijay Bank And Near Central Hospital(Map)";"4.5";"95";"2014";"http://www.strengththegym.com";"05:30 am - 11:00 pm";"05:30 am - 11:00 pm";"05:30 am - 11:00 pm";"05:30 am - 11:00 pm";"05:30 am - 11:00 pm";"05:30 am - 11:00 pm";"07:00 am - 12:00 pm"
31;"Health N Beauty Village";"+(91)-8882226149";"Scof 61, First Floor, Huda Market, Faridabad Sector 46, Faridabad - 121003(Map)";"5.0";"2";"2014";"javascript:void(0);";"10:00 am - 10:00 pm";"10:00 am - 10:00 pm";"10:00 am - 10:00 pm";"10:00 am - 10:00 pm";"10:00 am - 10:00 pm";"10:00 am - 10:00 pm";"10:00 am - 10:00 pm"
32;"Life Style Swim Gym";"+(91)-11-33076912";"Guru Har Krishan Public School, A Block, Vasant Vihar, Delhi - 110057, Opposite Church";"3.8";"4";"2001";"javascript:void(0);";"06:00 am - 08:00 pm";"06:00 am - 08:00 pm";"06:00 am - 08:00 pm";"06:00 am - 08:00 pm";"06:00 am - 08:00 pm";"06:00 am - 08:00 pm";"06:00 am - 08:00 pm"
33;"Brix Gym";"+(91)-11-33638391";"4a/2, Lower Ground Floor, Tilak Nagar, Delhi - 110018, Near Axis Bank(Map)";"3.9";"112";"2012";"javascript:void(0);";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm"
34;"Xtrafit Gym & More";"+(91)-11-33058743";"A1/19, Prashant Vihar, Delhi - 110085, Below Andhra Bank And Near Lancer Convent School(Map)";"3.5";"2";"2010";"http://www.xtrafit.co.in";"05:30 am - 10:00 pm";"05:30 am - 10:00 pm";"05:30 am - 10:00 pm";"05:30 am - 10:00 pm";"05:30 am - 10:00 pm";"05:30 am - 10:00 pm";"05:30 am - 02:00 pm"
