"id";"name";"link";"visited"
1;"Knock Out Martial Arts & Fi...";"http://www.justdial.com/Delhi/Knock-Out-Martial-Arts-Fitness-<near>-Lajpat-Nagar-2-lajpat-Nagar/011PXX11-XX11-111025215010-B4N9_BZDET?xid=RGVsaGkgTWFydGlhbCBBcnQgVHJhaW5pbmcgQ2VudHJlcw==";"1"
2;"Invictus Survival Sciences";"http://www.justdial.com/Delhi/Invictus-Survival-Sciences-<near>-Near-St-Mary-School-Safdarjung-Enclave/011PXX11-XX11-110702113356-D7A6_BZDET?xid=RGVsaGkgTWFydGlhbCBBcnQgVHJhaW5pbmcgQ2VudHJlcw==";"1"
3;"Amit Muaythai Boxing";"http://www.justdial.com/Delhi/Amit-Muaythai-Boxing-<near>-Nehru-Place/011PXX11-XX11-130730182020-V8Q2_BZDET?xid=RGVsaGkgTWFydGlhbCBBcnQgVHJhaW5pbmcgQ2VudHJlcw==";"1"
4;"Mixed Martial Arts Knockout";"http://www.justdial.com/Delhi/Mixed-Martial-Arts-Knockout-<near>-Near-Metro-Station-Gate-Number-2-Lajpat-Nagar/011PXX11-XX11-130926100850-S6Y4_BZDET?xid=RGVsaGkgTWFydGlhbCBBcnQgVHJhaW5pbmcgQ2VudHJlcw==";"1"
5;"SFL Fitness";"http://www.justdial.com/Delhi/SFL-Fitness-<near>-Opposite-Tdi-Paragon-Mall-Wave-Cinema-Rajouri-Garden/011PXX11-XX11-150727154712-Q6R7_BZDET?xid=RGVsaGkgTWFydGlhbCBBcnQgVHJhaW5pbmcgQ2VudHJlcw==";"1"
6;"Amit Thai Boxing Combat";"http://www.justdial.com/Delhi/Amit-Thai-Boxing-Combat-<near>-Near-Preet-Vihar-Metro-Station-Preet-Vihar/011PXX11-XX11-130429153720-H8X7_BZDET?xid=RGVsaGkgTWFydGlhbCBBcnQgVHJhaW5pbmcgQ2VudHJlcw==";"1"
7;"Sanshinkan MMA fitzone";"http://www.justdial.com/Delhi/Sanshinkan-MMA-fitzone-<near>-Opposite-Kerala-School-Near-Janakpuri-West-Metro-Station-Vikaspuri/011PXX11-XX11-130402233242-L4Q4_BZDET?xid=RGVsaGkgTWFydGlhbCBBcnQgVHJhaW5pbmcgQ2VudHJlcw==";"1"
8;"Sanshinkan Karate Internati...";"http://www.justdial.com/Delhi/Sanshinkan-Karate-International-<near>-Near-Dlf-Phase-3-Church-Gurgaon/011PXX11-XX11-150621140142-F5V8_BZDET?xid=RGVsaGkgTWFydGlhbCBBcnQgVHJhaW5pbmcgQ2VudHJlcw==";"1"
9;"Kickxcise";"http://www.justdial.com/Delhi/Kickxcise-<near>-Near-Sikandarpur-Metro-Station-Dlf-City-Phase-Ii-Gurgaon/011PXX11-XX11-141117100907-X6Y5_BZDET?xid=RGVsaGkgTWFydGlhbCBBcnQgVHJhaW5pbmcgQ2VudHJlcw==";"1"
10;"F M A Fitness";"http://www.justdial.com/Delhi/F-M-A-Fitness-<near>-Shivalik-Malviya-Nagar/011PXX11-XX11-150106203505-G6M8_BZDET?xid=RGVsaGkgTWFydGlhbCBBcnQgVHJhaW5pbmcgQ2VudHJlcw==";"1"
11;"Sanshinkan Karate Mixed Mar...";"http://www.justdial.com/Delhi/Sanshinkan-Karate-Mixed-Martial-Arts-Fitness-Pvt-Ltd-<near>-New-Friends-Colony/011PXX11-XX11-131017200640-U7R5_BZDET?xid=RGVsaGkgTWFydGlhbCBBcnQgVHJhaW5pbmcgQ2VudHJlcw==";"1"
12;"Delhi Taekwondo Training Ac...";"http://www.justdial.com/Delhi/Delhi-Taekwondo-Training-Academy-<near>-Near-IIT-or-Adchini-Sarvodaya-Enclave/011PXX11-XX11-140526164533-D6B5_BZDET?xid=RGVsaGkgTWFydGlhbCBBcnQgVHJhaW5pbmcgQ2VudHJlcw==";"1"
13;"Pacific Sports Complex";"http://www.justdial.com/Delhi/Pacific-Sports-Complex-<near>-Near-Central-School-Andrews-Ganj/011PXX11-XX11-100215101120-A1E8_BZDET?xid=RGVsaGkgTWFydGlhbCBBcnQgVHJhaW5pbmcgQ2VudHJlcw==";"1"
14;"Jai Hind Judo Karate Club";"http://www.justdial.com/Delhi/Jai-Hind-Judo-Karate-Club-<near>-Opposite-Navniti-Apartment-Mandawali/011PXX11-XX11-110411203519-K3B3_BZDET?xid=RGVsaGkgTWFydGlhbCBBcnQgVHJhaW5pbmcgQ2VudHJlcw==";"1"
15;"Fightersspeed";"http://www.justdial.com/Delhi/Fightersspeed-<near>-Near-Golds-Gym-And-Opposite-SBI-Bank-Janakpuri/011PXX11-XX11-150330134955-Z4N1_BZDET?xid=RGVsaGkgTWFydGlhbCBBcnQgVHJhaW5pbmcgQ2VudHJlcw==";"1"
16;"Shito Riyo Sports Karate Do...";"http://www.justdial.com/Delhi/Shito-Riyo-Sports-Karate-Do-Association-Up-<near>-Noida-Sector-21/011PXX11-XX11-130525151226-X9U4_BZDET?xid=RGVsaGkgTWFydGlhbCBBcnQgVHJhaW5pbmcgQ2VudHJlcw==";"1"
17;"Krav Maga Gk-2";"http://www.justdial.com/Delhi/Krav-Maga-Gk-2-<near>-Behind-nanaksar-gurudwara-Greater-Kailash-II/011PXX11-XX11-151027143124-Z2M4_BZDET?xid=RGVsaGkgTWFydGlhbCBBcnQgVHJhaW5pbmcgQ2VudHJlcw==";"1"
18;"Sanshinkan Mixed Martial Ar...";"http://www.justdial.com/delhi/Sanshinkan-Mixed-Martial-Arts-Karate-<near>-Near-Kendriya-Vihar-Gurgaon-Sector-56/011PXX11-XX11-121010173948-R5X1_BZDET?xid=RGVsaGkgTWFydGlhbCBBcnQgVHJhaW5pbmcgQ2VudHJlcw==";"1"
19;"International Karate Federa...";"http://www.justdial.com/Delhi/International-Karate-Federation-India-<near>-Opposite-Nanak-Peo-Gurudwara-Roop-Nagar/011PXX11-XX11-120606182757-W6R7_BZDET?xid=RGVsaGkgTWFydGlhbCBBcnQgVHJhaW5pbmcgQ2VudHJlcw==";"1"
20;"Trident Tactical Solutions ...";"http://www.justdial.com/Delhi/Trident-Tactical-Solutions-Pvt-Ltd-<near>-Opposite-Shiksha-Bharti-School-Dwarka-Sector-7/011PXX11-XX11-150216103117-C1E1_BZDET?xid=RGVsaGkgTWFydGlhbCBBcnQgVHJhaW5pbmcgQ2VudHJlcw==";"1"
